date;value
2018-05-06;6
2018-05-05;6
2018-05-04;5
2018-05-03;4
2018-05-02;4
2018-05-01;4
2018-04-30;4
2018-04-29;4
2018-04-28;3
2018-04-27;4
2018-04-26;4
2018-04-25;4
2018-04-24;3
2018-04-23;3
2018-04-22;7
2018-04-21;9
2018-04-20;7
2018-04-19;6
2018-04-18;5
2018-04-17;5
2018-04-16;4
2018-04-15;4
2018-04-14;6
2018-04-13;5
2018-04-12;8
2018-04-11;4
2018-04-10;5
2018-04-09;7
2018-04-08;5
2018-04-07;4
2018-04-06;4
2018-04-05;4
2018-04-04;4
2018-04-03;3
2018-04-02;3
2018-04-01;3
2018-03-31;3
2018-03-30;4
2018-03-29;4
2018-03-28;3
2018-03-27;4
2018-03-26;5
2018-03-25;6
2018-03-24;3
2018-03-23;3
2018-03-22;3
2018-03-21;4
2018-03-20;4
2018-03-19;4
2018-03-18;4
2018-03-17;4
2018-03-16;4
2018-03-15;3
2018-03-14;4
2018-03-13;3
2018-03-12;3
2018-03-11;3
2018-03-10;3
2018-03-09;3
2018-03-08;4
2018-03-07;3
2018-03-06;4
2018-03-05;4
2018-03-04;4
2018-03-03;8
2018-03-02;8
2018-03-01;7
2018-02-28;6
2018-02-27;4
2018-02-26;3
2018-02-25;3
2018-02-24;4
2018-02-23;5
2018-02-22;6
2018-02-21;8
2018-02-20;6
2018-02-19;4
2018-02-18;6
2018-02-17;6
2018-02-16;5
2018-02-15;3
2018-02-14;3
2018-02-13;3
2018-02-12;3
2018-02-11;3
2018-02-10;3
2018-02-09;5
2018-02-08;6
2018-02-07;5
2018-02-06;5
2018-02-05;4
2018-02-04;3
2018-02-03;3
2018-02-02;3
2018-02-01;3
2018-01-31;3
2018-01-30;4
2018-01-29;3
2018-01-28;3
2018-01-27;4
2018-01-26;4
2018-01-25;3
2018-01-24;3
2018-01-23;3
2018-01-22;3
2018-01-21;3
2018-01-20;3
2018-01-19;3
2018-01-18;3
2018-01-17;3
2018-01-16;3
2018-01-15;3
2018-01-14;5
2018-01-13;5
2018-01-12;7
2018-01-11;4
2018-01-10;3
2018-01-09;5
2018-01-08;3
2018-01-07;3
2018-01-06;4
2018-01-05;3
2018-01-04;3
2018-01-03;4
2018-01-02;3
2018-01-01;4
