date_ech;valeur
2019-06-21T02:00:00+02:00;4
2019-06-24T02:00:00+02:00;4
2019-09-11T02:00:00+02:00;4
2019-09-20T02:00:00+02:00;3
2019-09-25T02:00:00+02:00;2
2019-09-30T02:00:00+02:00;3
2019-10-02T02:00:00+02:00;3
2019-10-05T02:00:00+02:00;3
2018-11-06T01:00:00+01:00;3
2018-11-19T01:00:00+01:00;3
2018-11-27T01:00:00+01:00;5
2018-12-07T01:00:00+01:00;3
2018-12-08T01:00:00+01:00;4
2018-12-11T01:00:00+01:00;5
2018-12-16T01:00:00+01:00;3
2018-12-20T01:00:00+01:00;3
2018-12-21T01:00:00+01:00;3
2018-12-26T01:00:00+01:00;5
2018-12-27T01:00:00+01:00;5
2018-12-28T01:00:00+01:00;8
2018-12-31T01:00:00+01:00;3
2019-01-01T01:00:00+01:00;3
2019-01-02T01:00:00+01:00;3
2019-01-06T01:00:00+01:00;5
2019-01-08T01:00:00+01:00;3
2019-01-12T01:00:00+01:00;3
2019-01-17T01:00:00+01:00;3
2019-01-19T01:00:00+01:00;4
2018-01-04T01:00:00+01:00;3
2018-01-08T01:00:00+01:00;3
2018-01-14T01:00:00+01:00;5
2018-01-18T01:00:00+01:00;3
2018-01-21T01:00:00+01:00;3
2018-01-22T01:00:00+01:00;3
2018-01-26T01:00:00+01:00;4
2018-01-29T01:00:00+01:00;3
2018-02-01T01:00:00+01:00;3
2018-02-03T01:00:00+01:00;3
2018-02-05T01:00:00+01:00;4
2018-02-11T01:00:00+01:00;3
2018-02-24T01:00:00+01:00;4
2018-02-27T01:00:00+01:00;4
2018-03-02T01:00:00+01:00;8
2018-03-04T01:00:00+01:00;4
2018-03-06T01:00:00+01:00;4
2018-03-10T01:00:00+01:00;3
2018-03-14T01:00:00+01:00;4
2018-08-25T02:00:00+02:00;3
2018-08-26T02:00:00+02:00;3
2018-08-31T02:00:00+02:00;3
2018-09-01T02:00:00+02:00;4
2018-09-11T02:00:00+02:00;3
2018-09-13T02:00:00+02:00;3
2018-10-01T02:00:00+02:00;3
2018-10-06T02:00:00+02:00;5
2018-10-22T02:00:00+02:00;4
2018-10-28T02:00:00+02:00;3
2018-10-30T01:00:00+01:00;2
2018-06-09T02:00:00+02:00;6
2018-06-16T02:00:00+02:00;3
2018-06-17T02:00:00+02:00;3
2018-06-26T02:00:00+02:00;5
2018-06-27T02:00:00+02:00;6
2018-06-30T02:00:00+02:00;7
2018-07-05T02:00:00+02:00;5
2018-07-06T02:00:00+02:00;6
2018-07-07T02:00:00+02:00;6
2018-07-16T02:00:00+02:00;6
2018-07-21T02:00:00+02:00;5
2018-07-30T02:00:00+02:00;3
2018-08-05T02:00:00+02:00;5
2018-08-10T02:00:00+02:00;3
2018-08-14T02:00:00+02:00;3
2018-03-20T01:00:00+01:00;4
2018-03-21T01:00:00+01:00;4
2018-03-24T01:00:00+01:00;3
2018-03-30T02:00:00+02:00;4
2018-04-01T02:00:00+02:00;3
2018-04-02T02:00:00+02:00;3
2018-04-03T02:00:00+02:00;3
2018-04-10T02:00:00+02:00;5
2018-04-19T02:00:00+02:00;6
2018-04-22T02:00:00+02:00;7
2018-04-29T02:00:00+02:00;4
2018-05-01T02:00:00+02:00;4
2018-05-02T02:00:00+02:00;4
2018-05-10T02:00:00+02:00;4
2018-05-14T02:00:00+02:00;5
2018-05-16T02:00:00+02:00;6
2018-05-29T02:00:00+02:00;6
2018-05-31T02:00:00+02:00;5
2018-06-01T02:00:00+02:00;3
2018-06-02T02:00:00+02:00;3
2018-06-03T02:00:00+02:00;5
2019-01-26T01:00:00+01:00;3
2019-01-28T01:00:00+01:00;3
2019-02-07T01:00:00+01:00;3
2019-02-12T01:00:00+01:00;5
2019-02-23T01:00:00+01:00;5
2019-03-05T01:00:00+01:00;3
2019-03-06T01:00:00+01:00;3
2019-03-10T01:00:00+01:00;4
2019-03-16T01:00:00+01:00;4
2019-03-17T01:00:00+01:00;4
2019-03-22T01:00:00+01:00;8
2019-03-26T01:00:00+01:00;4
2019-04-01T02:00:00+02:00;5
2019-06-30T02:00:00+02:00;5
2019-07-06T02:00:00+02:00;5
2019-07-10T02:00:00+02:00;5
2019-07-13T02:00:00+02:00;4
2019-07-17T02:00:00+02:00;5
2019-07-23T02:00:00+02:00;5
2019-07-29T02:00:00+02:00;4
2019-08-13T02:00:00+02:00;3
2019-08-15T02:00:00+02:00;3
2019-08-18T02:00:00+02:00;3
2019-08-21T02:00:00+02:00;5
2019-08-25T02:00:00+02:00;5
2019-09-02T02:00:00+02:00;4
2019-09-06T02:00:00+02:00;3
2019-04-10T02:00:00+02:00;5
2019-04-12T02:00:00+02:00;4
2019-04-16T02:00:00+02:00;6
2019-04-21T02:00:00+02:00;7
2019-04-23T02:00:00+02:00;5
2019-04-24T02:00:00+02:00;5
2019-04-30T02:00:00+02:00;4
2019-05-01T02:00:00+02:00;8
2019-05-03T02:00:00+02:00;4
